EntityName,EntityColumn
GT78H_Y08160,Amazon_Keywords_USA_M 
GT78H_Y08160,Mkt_Bullet_1_GLO_M 
GT78H_Y08160,Mkt_Bullet_2_GLO_M 
GT78H_Y08160,Mkt_Bullet_3_GLO_M 
GT78H_Y08160,Mkt_Bullet_4_GLO_M 
GT78H_Y08160,Mkt_Bullet_5_GLO_M 
GT78H_Y08160,Mkt_Bullet_6_GLO_M 
GT78H_Y08160,Mkt_Bullet_7_GLO_M 
GT78H_Y08160,Magento_Product_Name_USA_A 
GT78H_Y08160,Magento_Product_Name_USA_A 
GT78H_Y08160,salsify:parent_id
GT78H_Y08160,salsify:data_inheritance_hierarchy_level_id
GT78H_Y08160_045,NRF_Color_Code_USA_S 
GT78H_Y08160_045,Color_Code_GLO_S 
GT78H_Y08160_045,Color_Desc_GLO_S 
GT78H_Y08160_045,Launch_Season_By_Retailer_USA_A.1
GT78H_Y08160_045,Seasons_By_Retailer_USA_M.1
GT78H_Y08160_045,Magento_SKU_GLO_A 
GT78H_Y08160_045,salsify:parent_id
GT78H_Y08160_045,salsify:data_inheritance_hierarchy_level_id
1.94165E+11,Grid_Value_USA_S 
1.94165E+11,Material_Num_USA_S 
1.94165E+11,UPC_GLO_S 
1.94165E+11,Fiber_Type_GLO_S 
1.94165E+11,Material_Desc_USA_S 
1.94165E+11,NRF_Size_Code_USA_S 
1.94165E+11,Compact_Size_Desc_GLO_S 
1.94165E+11,Size_Code_USA_S 
1.94165E+11,Size_Desc_GLO_S 
1.94165E+11,Case_Qty_USA_S 
1.94165E+11,Country_of_Origin_Code_GLO_S 
1.94165E+11,Country_of_Origin_GLO_S 
1.94165E+11,Tax_Code_USA_S 
1.94165E+11,Amazon_ASIN_GLO_M 
1.94165E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.94165E+11,AMZ Earliest Ship Date USA M 
1.94165E+11,AMZ Item Booking Date USA M 
1.94165E+11,Launch_Season_By_Retailer_USA_A.1
1.94165E+11,Magento_SKU_GLO_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,salsify:parent_id
1.94165E+11,salsify:data_inheritance_hierarchy_level_id
1.94165E+11,Grid_Value_USA_S 
1.94165E+11,Material_Num_USA_S 
1.94165E+11,UPC_GLO_S 
1.94165E+11,Fiber_Type_GLO_S 
1.94165E+11,Material_Desc_USA_S 
1.94165E+11,NRF_Size_Code_USA_S 
1.94165E+11,Compact_Size_Desc_GLO_S 
1.94165E+11,Size_Code_USA_S 
1.94165E+11,Size_Desc_GLO_S 
1.94165E+11,Case_Qty_USA_S 
1.94165E+11,Country_of_Origin_Code_GLO_S 
1.94165E+11,Country_of_Origin_GLO_S 
1.94165E+11,Tax_Code_USA_S 
1.94165E+11,Amazon_ASIN_GLO_M 
1.94165E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.94165E+11,AMZ Earliest Ship Date USA M 
1.94165E+11,AMZ Item Booking Date USA M 
1.94165E+11,Launch_Season_By_Retailer_USA_A.1
1.94165E+11,Magento_SKU_GLO_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,salsify:parent_id
1.94165E+11,salsify:data_inheritance_hierarchy_level_id
1.94165E+11,Grid_Value_USA_S 
1.94165E+11,Material_Num_USA_S 
1.94165E+11,UPC_GLO_S 
1.94165E+11,Fiber_Type_GLO_S 
1.94165E+11,Material_Desc_USA_S 
1.94165E+11,NRF_Size_Code_USA_S 
1.94165E+11,Compact_Size_Desc_GLO_S 
1.94165E+11,Size_Code_USA_S 
1.94165E+11,Size_Desc_GLO_S 
1.94165E+11,Case_Qty_USA_S 
1.94165E+11,Country_of_Origin_Code_GLO_S 
1.94165E+11,Country_of_Origin_GLO_S 
1.94165E+11,Tax_Code_USA_S 
1.94165E+11,Amazon_ASIN_GLO_M 
1.94165E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.94165E+11,AMZ Earliest Ship Date USA M 
1.94165E+11,AMZ Item Booking Date USA M 
1.94165E+11,Launch_Season_By_Retailer_USA_A.1
1.94165E+11,Magento_SKU_GLO_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,salsify:parent_id
1.94165E+11,salsify:data_inheritance_hierarchy_level_id
1.94165E+11,Grid_Value_USA_S 
1.94165E+11,Material_Num_USA_S 
1.94165E+11,UPC_GLO_S 
1.94165E+11,Fiber_Type_GLO_S 
1.94165E+11,Material_Desc_USA_S 
1.94165E+11,NRF_Size_Code_USA_S 
1.94165E+11,Compact_Size_Desc_GLO_S 
1.94165E+11,Size_Code_USA_S 
1.94165E+11,Size_Desc_GLO_S 
1.94165E+11,Case_Qty_USA_S 
1.94165E+11,Country_of_Origin_Code_GLO_S 
1.94165E+11,Country_of_Origin_GLO_S 
1.94165E+11,Tax_Code_USA_S 
1.94165E+11,Amazon_ASIN_GLO_M 
1.94165E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.94165E+11,AMZ Earliest Ship Date USA M 
1.94165E+11,AMZ Item Booking Date USA M 
1.94165E+11,Launch_Season_By_Retailer_USA_A.1
1.94165E+11,Magento_SKU_GLO_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,salsify:parent_id
1.94165E+11,salsify:data_inheritance_hierarchy_level_id
1.94165E+11,Grid_Value_USA_S 
1.94165E+11,Material_Num_USA_S 
1.94165E+11,UPC_GLO_S 
1.94165E+11,Fiber_Type_GLO_S 
1.94165E+11,Material_Desc_USA_S 
1.94165E+11,NRF_Size_Code_USA_S 
1.94165E+11,Compact_Size_Desc_GLO_S 
1.94165E+11,Size_Code_USA_S 
1.94165E+11,Size_Desc_GLO_S 
1.94165E+11,Case_Qty_USA_S 
1.94165E+11,Country_of_Origin_Code_GLO_S 
1.94165E+11,Country_of_Origin_GLO_S 
1.94165E+11,Tax_Code_USA_S 
1.94165E+11,Amazon_ASIN_GLO_M 
1.94165E+11,Amazon_Verified_Earliest_Ship_Date_GLO_A 
1.94165E+11,AMZ Earliest Ship Date USA M 
1.94165E+11,AMZ Item Booking Date USA M 
1.94165E+11,Launch_Season_By_Retailer_USA_A.1
1.94165E+11,Magento_SKU_GLO_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Price_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Product_Name_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,Magento_Quantity_USA_A 
1.94165E+11,salsify:parent_id
